Run,ImpellerSpeed_rpm,BinderRate_g_min,Compression_kN,Hardness_N,DissolutionQ15_pct,DT_sec,Assay_pct
1,250,160,12,82.0,89.0,230.0,99.3
2,350,60,18,114.0,78.0,360.0,98.5
3,350,160,18,125.0,70.0,450.0,97.9
4,250,60,12,78.0,93.0,190.0,99.6
5,150,110,12,68.0,96.0,150.0,100.1
6,350,110,24,134.0,65.0,520.0,97.2
7,250,110,18,124.71,91.88,248.6,98.97
8,250,60,24,118.0,78.0,400.0,98.2
9,250,110,18,114.73,89.91,239.6,99.17
10,350,110,12,95.0,82.0,280.0,99.0
11,250,160,24,125.0,72.0,460.0,97.8
12,150,160,18,92.0,88.0,260.0,99.2
13,250,110,18,121.0,90.94,226.6,99.29
14,150,60,18,108.0,92.0,210.0,99.8
15,150,110,24,110.0,85.0,320.0,98.8
